month,overall,public_housing,1-room_2-room,3-room,4-room,5-room_and_executive,private_housing,private_apts_and_condo,landed_properties,others
2019-01,401.30,322.80,153.60,252.10,334.20,401.20,601.20,483.40,1108.20,746.00
2019-02,408.30,328.80,154.00,255.10,339.40,410.70,613.00,492.80,1133.10,748.90
2019-03,395.10,313.60,147.20,241.10,324.10,393.70,602.40,486.20,1098.50,710.20
2019-04,426.90,341.70,159.90,266.10,353.20,426.00,642.00,523.80,1149.10,754.10
2019-05,450.00,360.70,166.60,279.40,373.60,452.60,677.40,557.90,1197.60,779.20
2019-06,449.60,364.00,168.40,275.70,378.20,462.20,663.90,546.60,1177.00,769.80
2019-07,433.70,354.60,163.90,270.20,368.80,447.90,632.80,517.10,1139.90,739.00
2019-08,449.30,366.30,169.70,281.50,380.20,461.80,658.60,534.90,1205.40,734.00
2019-09,466.30,375.20,171.30,286.50,389.10,476.20,696.90,565.70,1275.80,827.80
2019-10,451.40,359.50,165.30,274.40,372.90,456.50,685.10,558.70,1243.80,781.10
2019-11,435.20,347.90,162.00,266.10,361.80,439.90,657.80,537.10,1191.80,767.70
2019-12,400.60,322.00,151.50,247.80,334.50,406.40,601.10,490.60,1089.80,699.00
2005-01,418.10,330.90,135.20,241.70,345.60,422.00,751.40,624.80,1037.70,594.20
2005-02,408.30,319.10,129.00,235.20,333.60,405.10,749.80,619.20,1044.80,572.70
2005-03,446.90,347.60,131.50,253.10,363.40,445.40,825.20,679.30,1157.10,637.10
2005-04,496.20,389.70,148.00,280.30,407.40,501.90,900.80,759.20,1224.80,723.30
2005-05,496.80,388.00,147.00,281.00,404.90,498.90,909.90,772.90,1224.20,693.50
2005-06,519.70,408.20,151.10,294.70,427.40,524.40,941.90,796.00,1277.90,711.80
2005-07,497.70,393.30,147.80,283.80,410.70,506.20,890.60,754.10,1206.70,622.70
2005-08,489.30,387.20,148.80,283.30,403.80,495.00,872.30,733.10,1196.30,604.50
2005-09,477.70,376.70,141.20,272.90,393.60,482.80,856.00,717.70,1178.90,605.10
2005-10,480.80,374.40,139.70,272.10,390.90,479.10,877.90,739.50,1202.20,644.30
2005-11,479.70,375.50,140.40,272.00,392.20,480.50,866.80,732.10,1183.50,640.70
2005-12,441.60,347.00,132.70,254.40,361.30,441.80,791.20,662.80,1094.40,569.70
2006-01,430.50,340.70,131.10,245.90,354.70,436.10,761.70,640.60,1048.80,549.40
2006-02,418.20,327.10,125.20,239.30,339.40,417.10,752.90,621.40,1065.50,531.70
2006-03,433.60,336.40,124.80,244.20,350.60,428.90,789.20,649.90,1121.70,561.30
2006-04,472.20,366.90,137.10,267.30,381.50,467.40,857.60,719.20,1187.90,638.30
2006-05,481.20,374.90,139.50,273.10,389.70,477.60,868.80,737.40,1182.80,626.30
2006-06,491.10,386.70,142.50,280.60,402.10,493.10,871.30,739.90,1185.60,615.80
2006-07,472.60,373.00,138.70,270.10,386.90,476.90,835.40,710.20,1135.40,594.70
2006-08,500.80,393.70,143.60,283.60,409.80,503.10,888.90,749.40,1225.30,587.90
2006-09,498.70,390.30,143.90,281.40,405.00,499.70,892.40,754.00,1225.70,612.00
2006-10,483.30,376.10,141.10,273.20,390.20,479.50,869.70,729.00,1210.00,656.40
2006-11,491.20,384.30,143.50,276.10,398.90,492.30,875.00,740.50,1201.70,634.30
2006-12,454.10,355.20,135.90,257.50,368.00,453.30,809.20,682.70,1116.50,568.90
2007-01,434.00,342.30,133.70,248.30,355.10,435.90,761.40,638.90,1060.80,570.60
2007-02,407.20,319.00,128.00,236.30,329.60,403.20,721.50,596.40,1027.70,521.10
2007-03,413.50,322.00,123.80,233.70,333.70,410.40,739.10,611.80,1050.80,546.00
2007-04,467.10,365.30,136.10,265.10,379.80,464.80,828.70,692.10,1164.30,647.50
2007-05,495.80,386.80,145.70,281.10,401.40,492.50,883.20,752.30,1204.70,634.10
2007-06,507.80,398.50,148.90,289.40,413.50,507.70,896.90,761.40,1228.70,679.60
2007-07,513.80,402.10,150.80,292.00,416.30,513.00,910.90,772.70,1249.90,666.10
2007-08,505.80,398.30,147.80,290.10,413.10,506.70,887.50,748.80,1228.00,644.90
2007-09,467.80,368.70,143.70,269.70,381.50,468.30,818.80,690.20,1135.60,636.10
2007-10,468.20,367.00,139.50,266.20,379.80,468.10,827.50,689.90,1166.80,664.80
2007-11,497.90,389.00,149.30,284.10,403.00,493.90,884.00,741.20,1237.10,700.10
2007-12,444.90,349.20,137.70,257.00,361.00,441.90,785.10,656.00,1103.70,596.80
2008-01,424.00,335.70,135.30,247.10,346.60,424.90,738.40,612.50,1048.70,593.90
2008-02,429.00,335.60,133.40,248.30,346.60,423.90,761.60,622.90,1104.20,591.10
2008-03,406.80,316.00,125.80,233.00,325.90,399.90,729.80,604.00,1040.90,558.50
2008-04,444.30,351.60,137.20,258.20,363.40,445.20,773.70,643.50,1097.10,593.70
2008-05,491.00,386.00,148.70,284.30,399.10,487.90,862.40,725.40,1204.70,666.10
2008-06,516.30,400.10,153.60,296.80,412.50,505.60,926.00,779.30,1293.80,732.80
2008-07,473.80,374.90,145.50,274.40,386.60,476.20,821.80,686.70,1161.20,613.60
2008-08,459.10,362.00,141.50,267.10,373.80,457.20,800.50,660.70,1169.30,619.80
2008-09,466.80,369.30,144.10,272.50,381.40,466.30,807.80,662.80,1183.30,649.70
2008-10,467.90,368.10,144.90,269.70,379.60,467.00,815.00,676.50,1168.30,641.00
2008-11,481.00,374.50,149.70,277.40,386.60,471.60,852.90,714.60,1211.90,681.30
2008-12,433.00,339.60,134.80,252.80,351.60,426.00,756.70,623.70,1099.10,595.80
2009-01,426.70,335.70,138.80,248.50,347.20,421.60,741.90,604.40,1101.60,639.20
2009-02,412.50,324.00,132.60,242.00,334.20,406.10,718.30,576.70,1087.10,552.90
2009-03,412.00,321.80,129.70,239.00,332.80,404.00,722.70,588.30,1078.10,555.50
2009-04,455.30,357.90,142.40,265.90,370.50,449.10,787.60,649.20,1149.50,655.00
2009-05,496.10,388.00,152.90,287.90,400.30,489.30,864.90,723.30,1240.80,687.40
2009-06,541.90,427.60,159.40,313.40,443.10,541.40,928.10,772.40,1339.00,727.80
2009-07,529.20,417.60,158.70,306.00,430.50,529.80,902.70,750.90,1308.40,685.40
2009-08,507.10,402.80,158.40,301.40,414.20,507.80,856.10,709.00,1248.70,652.20
2009-09,492.50,389.10,153.20,287.40,402.00,490.90,840.10,693.80,1234.40,663.90
2009-10,492.50,388.20,154.10,287.60,400.40,490.10,839.80,693.20,1232.90,688.00
2009-11,497.50,389.50,156.40,288.30,400.90,492.50,859.50,716.80,1247.40,655.40
2009-12,455.90,357.20,145.60,266.40,367.80,449.40,785.40,644.50,1165.30,630.40
2010-01,433.40,343.20,143.20,255.80,354.80,429.80,734.70,598.90,1105.40,607.00
2010-02,446.10,348.40,142.70,260.10,358.40,438.50,773.40,622.40,1182.40,617.50
2010-03,482.10,373.20,146.60,277.10,384.30,471.80,845.70,693.80,1262.00,621.80
2010-04,513.50,402.60,156.00,296.00,415.20,510.90,880.60,728.30,1296.40,719.00
2010-05,505.40,396.80,159.50,296.80,408.10,500.10,866.50,721.50,1268.60,671.90
2010-06,531.50,418.50,163.30,311.20,431.50,528.40,903.20,747.20,1333.70,743.90
2010-07,502.40,399.30,158.10,295.60,411.80,505.40,839.50,699.50,1232.10,689.90
2010-08,471.90,378.30,154.90,282.70,389.70,476.50,778.70,639.60,1166.30,582.40
2010-09,472.00,375.30,150.40,277.90,388.70,473.20,789.40,642.40,1204.80,642.10
2010-10,486.90,383.00,156.80,286.20,395.20,482.00,826.60,681.70,1232.40,699.40
2010-11,509.60,401.40,160.80,298.90,414.20,506.60,866.60,717.60,1291.30,667.60
2010-12,466.30,368.20,149.60,272.80,380.20,465.40,785.90,648.40,1173.10,629.10
2011-01,436.20,346.40,147.80,257.80,357.40,436.40,730.40,597.30,1110.90,618.60
2011-02,404.10,319.20,135.80,239.10,328.30,401.90,682.80,546.70,1067.00,548.60
2011-03,404.00,317.50,132.80,238.10,327.40,399.20,685.60,550.70,1071.30,556.70
2011-04,454.50,357.10,147.70,268.40,367.80,449.00,770.00,633.40,1160.10,648.60
2011-05,490.10,383.30,157.70,290.10,394.80,480.50,838.30,691.50,1262.70,655.40
2011-06,521.00,413.10,164.30,310.30,425.70,520.50,869.90,719.90,1300.50,714.50
2011-07,505.50,401.30,164.50,300.80,412.90,506.60,841.80,702.10,1248.70,667.90
2011-08,508.60,402.70,164.20,301.60,414.40,508.70,850.10,699.30,1284.30,653.50
2011-09,501.40,399.20,163.00,298.80,410.50,504.70,831.70,685.90,1259.50,646.90
2011-10,479.30,377.70,157.30,283.60,388.80,475.80,807.30,661.20,1230.30,668.90
2011-11,463.80,366.60,154.60,274.80,376.90,462.60,776.90,641.40,1177.40,631.80
2011-12,431.90,341.90,145.10,257.90,351.60,430.00,719.70,590.00,1101.80,579.60
2012-01,431.10,341.70,148.90,258.90,351.50,428.10,717.90,583.60,1119.60,579.70
2012-02,430.90,338.20,143.20,255.40,347.80,425.30,726.10,582.60,1151.80,602.70
2012-03,432.20,339.00,143.40,255.40,348.50,427.00,728.30,591.60,1138.00,570.00
2012-04,459.10,362.10,151.90,273.70,372.70,455.20,765.30,627.30,1176.30,643.70
2012-05,472.50,373.00,153.70,282.20,383.50,469.60,787.80,653.00,1194.00,573.80
2012-06,514.00,406.70,164.40,306.30,418.70,512.70,851.60,704.70,1291.00,676.90
2012-07,502.90,398.50,162.20,298.70,409.80,504.20,832.00,689.90,1266.50,661.00
2012-08,493.90,390.90,161.60,296.00,401.20,492.60,816.50,670.40,1258.70,626.50
2012-09,483.20,383.00,158.90,288.40,394.10,482.70,797.50,651.20,1246.00,601.80
2012-10,471.10,370.90,151.00,280.00,382.00,467.20,783.50,637.90,1226.70,648.30
2012-11,478.00,376.10,156.20,281.70,386.70,475.90,796.80,654.30,1239.70,639.40
2012-12,440.30,348.10,150.00,262.10,357.90,438.50,727.00,593.50,1136.40,530.80
2013-01,430.20,343.70,149.60,258.70,354.70,430.90,699.20,567.20,1108.90,550.60
2013-02,418.90,331.40,143.20,249.50,341.20,416.70,691.30,557.00,1105.60,544.20
2013-03,417.40,327.40,139.00,245.70,338.00,411.90,697.80,563.80,1117.60,546.30
2013-04,473.90,374.80,154.80,282.90,386.30,472.30,779.70,636.70,1221.60,651.50
2013-05,508.10,398.00,164.40,299.80,410.10,502.40,844.80,700.10,1299.20,647.10
2013-06,525.10,418.70,171.80,313.20,434.80,526.00,852.70,705.50,1312.10,702.40
2013-07,508.60,407.10,167.00,303.80,417.80,518.90,821.00,679.10,1269.60,666.00
2013-08,513.00,411.30,173.30,307.70,423.60,521.00,825.10,678.80,1285.20,634.10
2013-09,465.90,371.10,161.60,279.40,382.20,467.90,759.20,615.80,1215.60,612.80
2013-10,459.00,358.30,154.90,272.30,368.00,451.30,767.50,620.80,1233.00,647.00
2013-11,471.10,372.60,161.10,278.70,384.20,471.10,772.50,632.50,1223.50,635.90
2013-12,436.80,346.70,154.90,263.10,356.80,435.70,710.50,576.00,1139.70,598.80
2014-01,420.20,336.40,151.40,253.60,347.50,422.30,675.50,544.00,1104.00,581.90
2014-02,402.50,321.50,144.70,242.20,331.00,405.20,648.00,513.70,1082.90,587.30
2014-03,400.00,313.90,137.20,237.10,323.00,396.40,661.30,525.90,1111.90,605.40
2014-04,462.40,364.10,154.80,276.50,374.90,459.40,757.10,610.80,1234.60,746.80
2014-05,494.60,389.50,167.40,298.40,401.80,488.40,808.70,666.10,1285.80,734.90
2014-06,516.20,414.60,173.30,311.50,427.80,525.70,816.90,669.00,1307.50,777.10
2014-07,506.60,406.70,171.90,308.50,419.10,514.10,802.00,658.60,1289.20,723.40
2014-08,510.00,411.40,176.60,310.00,423.80,521.80,800.10,653.50,1293.30,697.70
2014-09,474.70,381.60,166.50,286.90,393.30,483.90,748.80,605.30,1240.60,716.90
2014-10,463.50,365.50,160.90,279.80,376.40,459.80,749.90,604.20,1249.10,754.70
2014-11,486.80,386.70,171.70,292.90,398.20,489.10,780.10,638.60,1272.80,783.00
2014-12,453.00,361.60,161.20,273.10,372.90,457.10,718.90,583.00,1189.50,668.30
2015-01,414.70,334.00,153.10,251.00,345.40,421.30,648.90,519.00,1107.80,657.70
2015-02,390.60,313.70,144.80,236.90,322.90,396.20,614.60,486.50,1066.30,594.20
2015-03,403.30,319.80,143.30,242.90,329.60,403.50,645.70,513.90,1123.60,605.90
2015-04,463.70,368.30,163.60,280.40,378.90,465.60,736.30,590.70,1259.00,754.10
2015-05,476.30,378.00,171.00,289.10,389.30,475.60,757.80,622.40,1249.50,703.30
2015-06,491.00,393.60,173.30,299.50,405.40,497.10,767.60,625.40,1281.60,726.90
2015-07,500.40,402.90,177.20,307.00,415.70,507.60,775.80,630.10,1316.90,739.60
2015-08,507.90,413.10,183.30,312.60,425.20,523.40,776.10,632.20,1301.70,704.60
2015-09,491.80,397.80,178.40,300.20,408.50,505.90,759.00,616.10,1292.40,713.40
2015-10,494.20,394.90,175.40,297.90,406.20,501.70,773.50,625.70,1319.90,738.30
2015-11,506.80,405.20,179.80,306.00,416.40,515.70,787.60,645.00,1336.20,735.30
2015-12,476.60,384.90,174.50,290.30,397.30,486.70,733.30,593.20,1260.20,698.60
2016-01,436.20,349.80,167.00,268.90,360.20,437.60,677.30,545.00,1182.60,674.90
2016-02,443.40,357.80,163.70,273.50,368.70,449.80,681.40,544.50,1200.50,662.20
2016-03,445.00,355.80,158.20,266.60,367.20,452.00,692.90,554.20,1231.90,682.30
2016-04,490.70,391.10,175.80,297.30,402.40,494.60,764.60,618.80,1325.40,798.90
2016-05,520.90,415.00,187.50,317.30,426.50,523.80,812.40,667.00,1381.60,795.10
2016-06,531.90,428.40,192.30,324.80,441.30,542.00,812.60,666.60,1385.70,809.40
2016-07,481.00,393.30,181.00,297.70,405.90,496.00,716.90,582.30,1254.60,737.70
2016-08,484.00,395.40,182.10,302.00,407.00,497.80,722.10,580.50,1282.80,732.00
2016-09,484.40,394.70,179.50,299.50,406.90,498.60,726.40,587.10,1289.30,746.90
2016-10,484.10,390.30,178.60,296.60,401.90,493.10,735.60,597.60,1286.90,786.50
2016-11,479.20,390.20,178.50,294.50,401.90,494.40,717.60,582.90,1268.40,778.00
2016-12,425.90,345.10,163.40,263.50,355.40,433.80,640.90,514.90,1154.60,665.70
2017-01,419.80,341.60,164.50,262.90,353.50,424.90,627.90,502.80,1145.80,709.40
2017-02,424.30,343.10,164.10,261.10,354.50,430.30,639.20,507.00,1184.80,651.60
2017-03,390.70,315.80,148.80,239.40,324.90,399.10,588.40,468.60,1092.00,642.70
2017-04,426.90,344.70,161.90,264.60,354.80,433.20,643.00,517.60,1165.90,692.90
2017-05,453.90,367.50,174.70,283.30,380.00,458.20,681.90,555.90,1217.80,704.70
2017-06,502.10,407.50,184.30,309.00,420.40,512.50,739.60,604.20,1322.50,795.30
2017-07,507.80,423.80,193.50,329.40,438.20,528.20,726.70,593.50,1292.10,796.20
2017-08,454.10,369.00,171.90,279.20,381.60,465.60,674.10,536.60,1257.50,676.90
2017-09,443.20,358.30,166.70,271.90,370.10,452.20,664.20,535.80,1221.90,706.70
2017-10,447.80,362.30,167.60,277.30,373.20,457.30,670.00,538.80,1229.40,706.40
2017-11,446.90,366.30,169.60,276.90,378.70,463.70,656.90,534.20,1196.20,697.30
2017-12,416.80,336.80,159.30,257.00,347.90,424.10,623.60,506.60,1131.80,659.60
2018-01,398.30,324.50,154.40,248.70,336.10,406.60,589.30,473.70,1096.90,635.00
2018-02,371.30,303.70,145.90,232.90,314.10,380.80,546.50,435.40,1025.10,577.80
2018-03,378.10,304.00,140.90,232.90,314.90,381.90,570.20,451.30,1083.60,601.40
2018-04,429.50,346.80,158.40,264.40,358.80,437.90,643.50,518.80,1185.70,740.50
2018-05,446.80,359.30,165.30,275.80,372.50,450.30,672.70,551.50,1203.20,726.40
2018-06,472.80,384.30,177.80,294.90,397.50,483.40,700.90,576.70,1245.00,789.10
2018-07,442.90,361.80,167.40,275.60,374.90,456.30,650.70,532.40,1170.10,735.40
2018-08,432.40,354.30,164.30,271.40,367.10,445.80,632.60,511.40,1165.90,691.20
2018-09,441.40,357.60,164.10,273.30,370.20,452.00,656.70,537.00,1183.10,687.50
2018-10,440.90,353.00,160.20,269.90,365.40,446.70,667.20,542.40,1216.20,728.20
2018-11,421.60,342.60,156.90,260.20,354.90,433.70,625.70,510.30,1133.60,719.10
2018-12,381.70,310.40,148.30,243.00,320.20,386.10,566.70,459.70,1041.60,633.20
2020-01,384.30,310.50,146.40,239.60,324.50,388.70,572.10,459.50,1072.40,676.00
